reaction,AR_smiles,AR_atom,AH_smiles,AH_atom,BR_smiles,BR_atom,BH_smiles,BH_atom,DGdd_pred,DGdd_true
N1-A1a-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C,0,CC,0,19.95,19.90
N1-A1b-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C#N,0,CC#N,0,25.95,25.80
N1-A1c-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]N,0,CN,0,11.08,10.80
N1-A1d-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2][N+](=O)[O-],0,C[N+](=O)[O-],0,28.15,28.10
N1-A1e-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]SC,0,CSC,0,15.25,15.00
N1-A1f-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]OC,0,COC,0,16.72,16.50
N1-A1h-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]O,0,CO,0,17.95,18.00
N1-A1i-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH3],0,C,0,23.26,23.40
N1-A1j-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]Cl,0,CCl,0,23.21,23.10
N1-A1k-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(F)(F)F,0,CC(F)(F)F,0,28.41,28.40
N1-A1l-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)=O,0,CC(C)=O,0,24.67,24.90
N1-A1m-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)(C)C,0,CC(C)(C)C,0,22.13,22.20
N1-A1n-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]N(C)C,0,CN(C)C,0,7.75,7.70
N1-B1a-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CC,1,CCCC,1,18.68,18.80
N1-B1a-H3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCC,0,CCCC,0,21.45,21.50
N1-B1b-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]C#N,2,CCCC#N,2,23.65,23.80
N1-B1b-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CC#N,1,CCCC#N,1,21.44,21.40
N1-B1b-H3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCC#N,0,CCCC#N,0,22.95,23.40
N1-B1c-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]N,2,CCCN,2,11.36,11.20
N1-B1c-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CN,1,CCCN,1,19.03,18.90
N1-B1c-H3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCN,0,CCCN,0,21.52,21.60
N1-B1d-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH][N+](=O)[O-],2,CCC[N+](=O)[O-],2,25.62,25.70
N1-B1d-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]C[N+](=O)[O-],1,CCC[N+](=O)[O-],1,22.66,22.60
N1-B1d-H3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CC[N+](=O)[O-],0,CCC[N+](=O)[O-],0,23.60,23.00
N1-B1e-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]SC,2,CCCSC,2,14.05,13.80
N1-B1e-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CSC,1,CCCSC,1,20.05,20.30
N1-B1e-H3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCSC,0,CCCSC,0,21.80,21.90
N1-B1f-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]OC,2,CCCOC,2,16.16,16.20
N1-B1f-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]COC,1,CCCOC,1,19.43,19.10
N1-B1f-H3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCOC,0,CCCOC,0,21.97,22.20
N1-B1h-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]O,2,CCCO,2,16.17,16.00
N1-B1h-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CO,1,CCCO,1,18.80,18.30
N1-B1h-H3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCO,0,CCCO,0,21.43,21.60
N1-B1j-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]Cl,2,CCCCl,2,22.15,22.30
N1-B1j-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CCl,1,CCCCl,1,20.94,20.50
N1-B1j-H3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCCl,0,CCCCl,0,22.57,22.60
N1-B1k-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]C(F)(F)F,2,CCCC(F)(F)F,2,25.71,25.90
N1-B1k-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CC(F)(F)F,1,CCCC(F)(F)F,1,21.39,21.50
N1-B1k-H3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCC(F)(F)F,0,CCCC(F)(F)F,0,23.08,22.90
N1-B1l-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]C(C)=O,2,CCCC(C)=O,2,21.24,20.70
N1-B1l-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CC(C)=O,1,CCCC(C)=O,1,20.35,20.60
N1-B1l-H3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCC(C)=O,0,CCCC(C)=O,0,21.78,21.80
N1-B1m-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]C(C)(C)C,2,CCCC(C)(C)C,2,20.71,20.80
N1-B1m-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CC(C)(C)C,1,CCCC(C)(C)C,1,19.58,19.80
N1-B1m-H3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCC(C)(C)C,0,CCCC(C)(C)C,0,21.34,21.00
N1-B1n-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]N(C)C,2,CCCN(C)C,2,7.77,7.70
N1-B1n-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CN(C)C,1,CCCN(C)C,1,19.28,19.50
N1-B1n-H3,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCN(C)C,0,CCCN(C)C,0,21.48,21.40
N1-B2a-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](C)C,1,CC(C)C,1,17.15,17.10
N1-B2a-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)C,0,CC(C)C,0,21.68,21.70
N1-B2b-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](C)C#N,1,CC(C)C#N,1,20.89,21.20
N1-B2b-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)C#N,0,CC(C)C#N,0,24.18,23.80
N1-B2c-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](C)N,1,CC(C)N,1,10.37,10.10
N1-B2c-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)N,0,CC(C)N,0,22.36,22.70
N1-B2d-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](C)[N+](=O)[O-],1,CC(C)[N+](=O)[O-],1,23.30,23.50
N1-B2d-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)[N+](=O)[O-],0,CC(C)[N+](=O)[O-],0,24.87,24.80
N1-B2e-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CS[C](C)C,2,CSC(C)C,2,13.54,13.40
N1-B2e-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)SC,0,CSC(C)C,3,21.78,21.70
N1-B2f-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CO[C](C)C,2,COC(C)C,2,15.03,15.10
N1-B2f-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)OC,0,COC(C)C,3,22.38,22.20
N1-B2h-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](C)O,1,CC(C)O,1,14.80,14.80
N1-B2h-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)O,0,CC(C)O,0,22.39,22.30
N1-B2j-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](C)Cl,1,CC(C)Cl,1,20.04,20.00
N1-B2j-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)Cl,0,CC(C)Cl,0,24.14,24.10
N1-B2k-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](C)C(F)(F)F,1,CC(C)C(F)(F)F,1,23.48,23.50
N1-B2k-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)C(F)(F)F,0,CC(C)C(F)(F)F,0,24.56,24.70
N1-B2l-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](C)C(C)=O,1,CC(=O)C(C)C,3,19.11,19.30
N1-B2l-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)C(C)=O,0,CC(=O)C(C)C,4,22.19,22.00
N1-B2m-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](C)C(C)(C)C,1,CC(C)C(C)(C)C,1,18.36,18.40
N1-B2m-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)C(C)(C)C,0,CC(C)C(C)(C)C,0,21.76,22.30
N1-B2n-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](C)N(C)C,1,CC(C)N(C)C,1,7.83,7.90
N1-B2n-H2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)N(C)C,0,CC(C)N(C)C,0,21.51,21.30
N1-C1a-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[CH]C,2,C=CCC,2,17.23,17.60
N1-C1b-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[CH]C#N,2,C=CCC#N,2,20.46,20.30
N1-C1c-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[CH]N,2,C=CCN,2,13.20,13.00
N1-C1d-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[CH][N+](=O)[O-],2,C=CC[N+](=O)[O-],2,22.29,22.30
N1-C1e-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[CH]SC,2,C=CCSC,2,13.99,13.70
N1-C1f-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[CH]OC,2,C=CCOC,2,15.41,15.50
N1-C1h-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[CH]O,2,C=CCO,2,15.67,15.60
N1-C1i-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C=C,0,C=CC,2,18.55,18.80
N1-C1j-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[CH]Cl,2,C=CCCl,2,19.38,19.50
N1-C1k-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[CH]C(F)(F)F,2,C=CCC(F)(F)F,2,21.79,21.70
N1-C1l-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[CH]C(C)=O,2,C=CCC(C)=O,2,19.15,19.40
N1-C1m-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[CH]C(C)(C)C,2,C=CCC(C)(C)C,2,18.61,19.60
N1-C1n-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[CH]N(C)C,2,C=CCN(C)C,2,10.22,10.50
N1-D1a-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[C](C)C,2,C=CC(C)C,2,15.98,15.80
N1-D1b-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[C](C)C#N,2,C=CC(C)C#N,2,19.17,19.10
N1-D1c-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[C](C)N,2,C=CC(C)N,2,12.25,12.00
N1-D1d-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[C](C)[N+](=O)[O-],2,C=CC(C)[N+](=O)[O-],2,21.36,21.30
N1-D1e-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[C](C)SC,2,C=CC(C)SC,2,14.50,14.20
N1-D1f-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[C](C)OC,2,C=CC(C)OC,2,14.10,14.00
N1-D1h-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[C](C)O,2,C=CC(C)O,2,15.27,15.40
N1-D1j-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[C](C)Cl,2,C=CC(C)Cl,2,19.20,19.50
N1-D1k-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[C](C)C(F)(F)F,2,C=CC(C)C(F)(F)F,2,21.10,20.90
N1-D1l-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[C](C)C(C)=O,2,C=CC(C)C(C)=O,2,19.16,19.60
N1-D1m-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[C](C)C(C)(C)C,2,C=CC(C)C(C)(C)C,2,18.81,18.70
N1-D1n-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C=C[C](C)N(C)C,2,C=CC(C)N(C)C,2,9.05,8.70
N1-E1a-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C#C[CH]C,2,C#CCC,2,18.72,18.80
N1-E1b-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C#C[CH]C#N,2,C#CCC#N,2,22.23,22.60
N1-E1c-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C#C[CH]N,2,C#CCN,2,15.16,15.10
N1-E1d-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C#C[CH][N+](=O)[O-],2,C#CC[N+](=O)[O-],2,24.30,24.50
N1-E1e-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C#C[CH]SC,2,C#CCSC,2,15.67,15.70
N1-E1f-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C#C[CH]OC,2,C#CCOC,2,17.41,17.60
N1-E1h-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C#C[CH]O,2,C#CCO,2,17.56,18.00
N1-E1i-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C#C[CH2],2,C#CC,2,20.36,20.60
N1-E1j-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C#C[CH]Cl,2,C#CCCl,2,21.13,21.30
N1-E1k-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C#C[CH]C(F)(F)F,2,C#CCC(F)(F)F,2,24.45,24.80
N1-E1l-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C#C[CH]C(C)=O,2,C#CCC(C)=O,2,21.24,21.50
N1-E1m-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C#C[CH]C(C)(C)C,2,C#CCC(C)(C)C,2,19.89,20.10
N1-E1n-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C#C[CH]N(C)C,2,C#CCN(C)C,2,13.40,13.20
N1-F1a-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](C)c1ccccc1,1,CC(C)c1ccccc1,1,16.58,16.20
N1-F1b-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](C#N)c1ccccc1,1,CC(C#N)c1ccccc1,1,19.75,19.60
N1-F1c-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](N)c1ccccc1,1,CC(N)c1ccccc1,1,12.46,12.60
N1-F1d-H1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[C](c1ccccc1)[N+](=O)[O-],1,CC(c1ccccc1)[N+](=O)[O-],1,23.88,24.20
